"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"Path of Exile",,"Grinding Gear Games","D:\SteamLibrary\steamapps\common\Path of Exile","""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/238960"
"PawnIO","2.2.0.0","namazso","C:\Program Files\PawnIO","""C:\Program Files\PawnIO\uninstall.exe"" -uninstall"
"PowerShell 7-x64","7.6.4.0","Microsoft Corporation","","MsiExec.exe /X{92D9A5DC-8C64-40D5-B1BC-98DB9C7FDB7F}"
"Promontory_GPIO Driver","3.0.0.0","Advanced Micro Devices, Inc.",,"MsiExec.exe /X{B5512BCC-F4CD-4159-86A4-B2AD7D38FFA9}"
"Python 3.12.10 (64-bit)","3.12.10150.0","Python Software Foundation",,"""C:\Users\enrik\AppData\Local\Package Cache\{b6ce88eb-2ce3-4d91-8efc-425ae1f48caf}\python-3.12.10-amd64.exe""  /uninstall"
"Python 3.12.10 Core Interpreter (64-bit)","3.12.10150.0","Python Software Foundation","","MsiExec.exe /I{9D09C9EF-A57C-422A-B79A-CC922079653A}"
"Python 3.12.10 Development Libraries (64-bit)","3.12.10150.0","Python Software Foundation","","MsiExec.exe /I{EF4A3D60-9A53-4697-A18D-D3353F8554E6}"
"Python 3.12.10 Executables (64-bit)","3.12.10150.0","Python Software Foundation","","MsiExec.exe /I{0158093D-F809-455B-9429-6D16A4B5D118}"
"Python 3.12.10 pip Bootstrap (64-bit)","3.12.10150.0","Python Software Foundation","","MsiExec.exe /I{CD0A1663-DC2D-41BD-89AF-E1089E841822}"
"Python 3.12.10 Standard Library (64-bit)","3.12.10150.0","Python Software Foundation","","MsiExec.exe /I{DE12B597-D4BF-4B1B-BF5F-C5CE41AFBDFC}"
"Python 3.12.10 Tcl/Tk Support (64-bit)","3.12.10150.0","Python Software Foundation","","MsiExec.exe /I{75485683-EF03-41E6-BF21-D1491694548C}"
"Python 3.12.10 Test Suite (64-bit)","3.12.10150.0","Python Software Foundation","","MsiExec.exe /I{01F171AF-1F21-435E-BEE4-FCC4360C896C}"
"Python Launcher","3.13.5150.0","Python Software Foundation","","MsiExec.exe /X{69012533-AE90-48A1-B7E5-7124E81C4B40}"
"qBittorrent","5.2.1","The qBittorrent project",,"""E:\qBittorrent\uninst.exe"""
"Realtek Audio Driver","6.0.9879.1","Realtek Semiconductor Corp.","C:\Program Files (x86)\Realtek\Audio\Drivers","""C:\Program Files (x86)\InstallShield Installation Information\{F132AF7F-7BCA-4EDE-8A7C-958108FE7DBC}\Setup.exe"" -runfromtemp  -removeonly"
"Realtek Ethernet Controller Driver","10.79.50.1003","Realtek","C:\Program Files (x86)\Realtek\NICDRV_8169","""C:\Program Files (x86)\InstallShield Installation Information\{8833FFB6-5B0C-4764-81AA-06DFEED9A476}\setup.exe"" -runfromtemp -removeonly"
"ReviewTool.gg 0.5.1","0.5.1","ReviewTool.gg",,"""C:\Users\enrik\AppData\Local\Programs\ReviewTool.gg\Uninstall ReviewTool.gg.exe"" /currentuser"
"RIFT",,"gamigo US Inc.","D:\SteamLibrary\steamapps\common\RIFT","""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/39120"
"Riot Client ",,"Riot Games, Inc","D:/Riot Games/Riot Client","""D:\Riot Games\Riot Client\RiotClientServices.exe"" --uninstall-product=Riot_Client --uninstall-patchline="
"Riot Vanguard",,"Riot Games, Inc.","C:\Program Files\Riot Vanguard","""C:\Program Files\Riot Vanguard\uninstall.exe"""
"Scars of Honor Playtest",,"","D:\SteamLibrary\steamapps\common\Scars of Honor Playtest","""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/4376720"
"SDK ARM64 Additions","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{E93670D9-924A-7B6F-5F55-AE8E3043BCB0}"
"SDK ARM64 Redistributables","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{AA86DFC1-17A2-6133-1D55-92818B9D3082}"
"SignalRgb","2.5.74","WhirlwindFX","C:\Users\enrik\AppData\Local\VortxEngine","""C:\Users\enrik\AppData\Local\VortxEngine\Update.exe"" --uninstall"
"SMITE 2",,"Titan Forge Games","D:\SteamLibrary\steamapps\common\SMITE 2","""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/2437170"
"Soulframe","1.0.0","Digital Extremes","","MsiExec.exe /X{B9E228AB-A090-411F-B8B9-9FA64666520B}"
"STAR WARS™: The Old Republic™",,"Broadsword","D:\SteamLibrary\steamapps\common\Star Wars - The Old Republic","""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/1286830"
"StarCraft",,"Blizzard Entertainment","E:\Jeux\StarCraft","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=s1 --displayname=""StarCraft"""
"StarCraft II",,"Blizzard Entertainment","E:\Jeux\StarCraft II","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=s2 --displayname=""StarCraft II"""
"Steam","2.10.91.91","Valve Corporation",,"C:\Program Files (x86)\Steam\uninstall.exe"
"Super Sus",,"GIANT INTERACTIVE HK LIMITED","E:\SteamLibrary\steamapps\common\Super Sus","""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/2920270"
"TCPView","4.19","Sysinternals","C:\Users\enrik\AppData\Local\Microsoft\WinGet\Packages\Microsoft.Sysinternals.TCPView_Microsoft.Winget.Source_8wekyb3d8bbwe","winget uninstall --product-code Microsoft.Sysinternals.TCPView_Microsoft.Winget.Source_8wekyb3d8bbwe"
"The Lord of the Rings Online™",,"Standing Stone Games","E:\SteamLibrary\steamapps\common\Lord of the Rings Online","""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/212500"
"Tom Clancy's The Division 2","","Ubisoft","D:/Ubisoft Game Launcher/games/Tom Clancy's The Division 2/","""D:\Ubisoft Game Launcher\UbisoftConnect.exe"" uplay://uninstall/4932"
"Top Heroes","1.115.11","River Game HK Limited","C:\Users\enrik\AppData\Local\TopHeroes","""C:\Users\enrik\AppData\Local\TopHeroes\Tools\Update.exe"" --uninstall"
"Top Heroes Store","1.0","BraveSoftware\Brave-Browser",,"""C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe"" --profile-directory=Default --uninstall-app-id=ajniebfffmmnannljnochecbiccgihkf"
"Ubisoft Connect","172.1.13247","Ubisoft","D:\Ubisoft Game Launcher\","D:\Ubisoft Game Launcher\Uninstall.exe"
"UE Prerequisites (x64)","1.0.21.0","Epic Games, Inc.",,"""C:\ProgramData\Package Cache\{e9d9f387-657e-40d8-8f5b-4fc1aa768343}\UEPrereqSetup_x64.exe""  /uninstall"
"Universal CRT Extension SDK","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{0343A2EB-5CCA-79B9-18A4-ABD484A97924}"
"Universal CRT Headers Libraries and Sources","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{7D4D186C-70F0-6990-1792-DAA557B1E010}"
"Universal CRT Redistributable","10.0.26624","Microsoft Corporation","","MsiExec.exe /I{0460C87B-7F4C-3170-FAC9-B7A6AE5CE4E9}"
"Universal CRT Redistributable","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{368E4D03-5983-1C2C-B42E-1C0C51A935A5}"
"Universal CRT Tools x64","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{C7F2EF85-ACD3-0480-6BC2-0C3B45A8F1C1}"
"Universal CRT Tools x86","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{FEC52FA9-A866-C884-4AAA-0B15BE793610}"
"Universal General MIDI DLS Extension SDK","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{7E52FE9F-4D3E-9277-0E37-0014C83D4F5E}"
