"Drive","Path","Name","Extension","SizeGB","SizeMB","LastWrite","Type"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\c30d67effd5a80bf51a0817799acf3c8\96df249bb179d595\946278c574973d0a.bin","946278c574973d0a.bin",".bin","0,001","1,1","02/08/2026 01:28:02","Model/File"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\3f3bca284cd30839f8421d1bb8e25cc8\96df249bb179d595\946278c574973d08.bin","946278c574973d08.bin",".bin","0,001","1,3","26/07/2026 03:31:51","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\Warperia\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,6","04/08/2026 16:04:54","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\wowup\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","15/01/2026 23:04:02","Model/File"
"C","C:\Users\enrik\AppData\Local\VortxEngine\app-2.5.72\Signal-x64\resources\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,6","12/07/2026 16:20:24","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\Warperia\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,6","04/08/2026 16:04:54","Model/File"
"C","C:\Users\enrik\AppData\Local\Discord\app-1.0.9252\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","22/07/2026 23:02:36","Model/File"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\3f3bca284cd30839f8421d1bb8e25cc8\96df249bb179d595\aaa39bdd34d1ef89.bin","aaa39bdd34d1ef89.bin",".bin","0,001","1","22/07/2026 17:52:38","Model/File"
"C","C:\Users\enrik\AppData\Local\Amazon Games\App\Amazon Games UI\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,6","23/12/2025 20:43:13","Model/File"
"C","C:\ProgramData\Packer\catcache4.bin","catcache4.bin",".bin","0,001","0,7","23/02/2026 11:14:55","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\wago-app\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","07/06/2026 14:20:54","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\Archon App\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","24/03/2026 19:14:22","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlisp\versions\66150\files\160_E99B5EC.bin","160_E99B5EC.bin",".bin","0,001","0,7","05/12/2025 11:52:43","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlisp\versions\131343\files\160_B9CF688.bin","160_B9CF688.bin",".bin","0,001","0,9","05/12/2025 11:52:39","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\wowup\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","15/01/2026 23:04:02","Model/File"
"C","C:\Users\enrik\AppData\Local\hermes\hermes-agent\apps\desktop\release\win-unpacked\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","16/07/2026 15:32:12","Model/File"
"C","C:\Users\enrik\AppData\Local\hermes\hermes-agent\node_modules\electron\dist\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","16/07/2026 15:32:12","Model/File"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\3f3bca284cd30839f8421d1bb8e25cc8\96df249bb179d595\5ea7f2c6cd35d8a4.bin","5ea7f2c6cd35d8a4.bin",".bin","0,001","0,5","12/07/2026 16:42:13","Model/File"
"C","C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.11.15-windows-x86_64-none\Lib\ensurepip\_bundled\setuptools-79.0.1-py3-none-any.whl","setuptools-79.0.1-py3-none-any.whl",".whl","0,001","1,2","16/07/2026 15:26:10","Model/File"
"C","C:\Users\enrik\AppData\Local\ms-playwright\chromium_headless_shell-1228\chrome-headless-shell-win64\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","16/07/2026 15:29:57","Model/File"
"C","C:\Users\enrik\AppData\Local\ms-playwright\chromium-1228\chrome-win64\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","16/07/2026 15:29:49","Model/File"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\c30d67effd5a80bf51a0817799acf3c8\96df249bb179d595\5ea7f2c6cd35d8a4.bin","5ea7f2c6cd35d8a4.bin",".bin","0,001","0,6","14/08/2026 11:27:54","Model/File"
"C","C:\Users\enrik\AppData\Local\Microsoft\IdentityCache\1\UD\u_JRN7PUU2A1SE7ISK\e_C2GK9UTC67FSUCG3\ID\r_74DB6FURNR2TGPBK\c_9FGCD9G3CIHBMGC9.bin","c_9FGCD9G3CIHBMGC9.bin",".bin","0","0","15/02/2026 17:21:07","Model/File"
"C","C:\Users\enrik\AppData\Local\Microsoft\IdentityCache\1\UD\u_JRN7PUU2A1SE7ISK\e_C2GK9UTC67FSUCG3\ID\r_74DB6FURNR2TGPBK\c_Q1JJ95IJFFRNT2GU.bin","c_Q1JJ95IJFFRNT2GU.bin",".bin","0","0","05/12/2025 10:39:54","Model/File"
"C","C:\Users\enrik\AppData\Local\Microsoft\Windows\1036\StructuredQuerySchema.bin","StructuredQuerySchema.bin",".bin","0","0,5","31/07/2026 13:01:44","Model/File"
"C","C:\Users\enrik\AppData\Local\Microsoft\IdentityCache\1\UD\u_JRN7PUU2A1SE7ISK\e_C2GK9UTC67FSUCG3\ID\r_74DB6FURNR2TGPBK\c_SR6F7R8QM7CIK9QU.bin","c_SR6F7R8QM7CIK9QU.bin",".bin","0","0","05/12/2025 10:39:53","Model/File"
